Date,Type Ia,Type Ib,Type II,Type Apple,Type Bump,Type Rain,Type Featureless,Nonevent,Undefined
27-Apr-2004,0,0,1,0,0,0,0,0,0
28-Apr-2004,1,0,0,0,0,0,0,0,0
29-Apr-2004,0,0,1,0,0,0,0,0,0
30-Apr-2004,0,0,1,0,0,0,0,0,0
01-May-2004,0,0,0,0,0,0,0,0,1
02-May-2004,0,0,1,0,0,0,0,0,0
03-May-2004,0,1,0,0,0,0,0,0,0
04-May-2004,0,0,0,0,0,0,0,1,0
05-May-2004,0,0,0,0,0,0,0,0,1
06-May-2004,0,0,0,0,0,0,0,0,1
07-May-2004,0,0,0,0,0,0,0,0,1
08-May-2004,0,0,0,0,0,0,0,1,0
09-May-2004,0,0,0,0,0,0,0,0,1
10-May-2004,0,0,0,0,0,0,0,1,0
11-May-2004,1,0,0,0,0,0,0,0,0
12-May-2004,0,0,1,0,0,0,0,0,0
13-May-2004,1,0,0,0,0,0,0,0,0
14-May-2004,0,0,1,0,0,0,0,0,0
15-May-2004,0,0,0,0,0,0,0,1,0
16-May-2004,0,0,1,0,0,0,0,0,0
17-May-2004,0,0,1,0,0,0,0,0,0
18-May-2004,0,0,0,0,0,0,0,0,1
19-May-2004,0,1,0,0,0,0,0,0,0
20-May-2004,0,1,0,0,0,0,0,0,0
21-May-2004,0,0,1,0,0,0,0,0,0
22-May-2004,0,1,0,0,0,0,0,0,0
23-May-2004,0,0,0,0,0,0,0,0,1
24-May-2004,0,0,0,0,0,0,0,0,1
25-May-2004,0,1,0,0,0,0,0,0,0
26-May-2004,0,0,0,0,0,0,0,0,1
27-May-2004,0,0,0,0,0,0,0,0,1
28-May-2004,0,1,0,0,0,0,0,0,0
29-May-2004,0,1,0,0,0,0,0,0,0
30-May-2004,0,0,0,0,0,0,0,1,0
31-May-2004,0,0,0,0,0,0,0,0,1
01-Jun-2004,0,1,0,0,0,0,0,0,0
02-Jun-2004,0,1,0,0,0,0,0,0,0
03-Jun-2004,0,0,1,0,0,0,0,0,0
04-Jun-2004,0,0,1,0,0,0,0,0,0
05-Jun-2004,0,0,1,0,0,0,0,0,0
06-Jun-2004,0,0,0,0,0,0,0,0,1
07-Jun-2004,0,0,0,0,0,0,0,0,1
08-Jun-2004,0,0,1,0,0,0,0,0,0
09-Jun-2004,0,0,1,0,0,0,0,0,0
10-Jun-2004,0,0,0,0,0,0,0,0,1
11-Jun-2004,0,0,0,0,0,0,0,0,1
